State,EV Level2 EVSE Num,EV DC Fast Count,ev_total
AB,2139.0,568.0,2707.0
AK,123.0,74.0,197.0
AL,1323.0,869.0,2192.0
AR,930.0,248.0,1178.0
AZ,3672.0,1382.0,5054.0
BC,6442.0,2467.0,8909.0
CA,56666.0,17668.0,74334.0
CO,5940.0,1548.0,7488.0
CT,4240.0,782.0,5022.0
DC,1302.0,57.0,1359.0
DE,569.0,293.0,862.0
FL,10652.0,4215.0,14867.0
GA,6315.0,1960.0,8275.0
HI,1010.0,185.0,1195.0
IA,760.0,548.0,1308.0
ID,470.0,255.0,725.0
IL,3748.0,2127.0,5875.0
IN,1535.0,901.0,2436.0
KS,1179.0,351.0,1530.0
KY,847.0,411.0,1258.0
LA,592.0,375.0,967.0
MA,9296.0,1697.0,10993.0
MB,561.0,144.0,705.0
MD,4770.0,1349.0,6119.0
ME,1267.0,364.0,1631.0
MI,4312.0,1497.0,5809.0
MN,2182.0,848.0,3030.0
MO,2624.0,754.0,3378.0
MS,466.0,321.0,787.0
MT,235.0,256.0,491.0
NB,436.0,186.0,622.0
NC,4600.0,1780.0,6380.0
ND,137.0,146.0,283.0
NE,506.0,228.0,734.0
NH,549.0,319.0,868.0
NJ,4463.0,1938.0,6401.0
NL,207.0,76.0,283.0
NM,753.0,525.0,1278.0
NS,568.0,129.0,697.0
NT,12.0,9.0,21.0
NV,1901.0,1095.0,2996.0
NY,17528.0,2996.0,20524.0
OH,4305.0,1404.0,5709.0
OK,918.0,1089.0,2007.0
ON,14251.0,2698.0,16949.0
OR,3248.0,1242.0,4490.0
PA,4461.0,1755.0,6216.0
PE,351.0,23.0,374.0
PR,85.0,0.0,85.0
QC,11291.0,2779.0,14070.0
RI,825.0,136.0,961.0
SC,1445.0,800.0,2245.0
SD,169.0,153.0,322.0
SK,257.0,197.0,454.0
TN,2461.0,971.0,3432.0
TX,8820.0,4620.0,13440.0
UT,2374.0,709.0,3083.0
VA,4844.0,1680.0,6524.0
VT,1146.0,273.0,1419.0
WA,6752.0,1969.0,8721.0
WI,1483.0,793.0,2276.0
WV,395.0,221.0,616.0
WY,177.0,171.0,348.0
YT,44.0,39.0,83.0
