State,Regular,Mid-Grade,Premium,Diesel
Alaska,$3.651,$3.934,$4.141,$3.924
Alabama,$2.648,$3.086,$3.474,$3.416
Arkansas,$2.510,$2.942,$3.317,$3.377
Arizona,$3.239,$3.600,$3.916,$3.610
California,$4.469,$4.704,$4.888,$5.065
Colorado,$2.473,$2.833,$3.153,$3.301
Connecticut,$3.054,$3.671,$4.048,$3.845
District of Columbia,$3.195,$3.714,$4.167,$3.804
Delaware,$2.891,$3.489,$3.737,$3.744
Florida,$2.910,$3.356,$3.682,$3.621
Georgia,$2.786,$3.212,$3.617,$3.565
Hawaii,$4.443,$4.662,$4.923,$5.194
Iowa,$2.559,$2.883,$3.392,$3.536
Idaho,$3.111,$3.401,$3.670,$3.652
Illinois,$3.078,$3.654,$4.111,$3.810
Indiana,$2.812,$3.363,$3.853,$3.867
Kansas,$2.617,$2.957,$3.321,$3.475
Kentucky,$2.645,$3.195,$3.621,$3.478
Louisiana,$2.579,$2.991,$3.388,$3.282
Massachusetts,$3.019,$3.635,$3.999,$3.857
Maryland,$2.914,$3.502,$3.780,$3.757
Maine,$2.999,$3.533,$4.003,$4.003
Michigan,$2.813,$3.405,$3.973,$3.738
Minnesota,$2.809,$3.294,$3.762,$3.733
Missouri,$2.608,$2.999,$3.307,$3.402
Mississippi,$2.552,$2.981,$3.356,$3.291
Montana,$2.952,$3.263,$3.593,$3.450
North Carolina,$2.756,$3.211,$3.597,$3.490
North Dakota,$2.692,$3.039,$3.400,$3.621
Nebraska,$2.630,$2.888,$3.355,$3.434
New Hampshire,$2.930,$3.528,$3.950,$3.846
New Jersey,$2.975,$3.540,$3.810,$3.768
New Mexico,$2.751,$3.166,$3.481,$3.510
Nevada,$3.616,$3.912,$4.184,$3.839
New York,$3.116,$3.632,$4.015,$3.928
Ohio,$2.713,$3.242,$3.749,$3.684
Oklahoma,$2.366,$2.764,$3.063,$3.217
Oregon,$3.710,$3.962,$4.227,$4.266
Pennsylvania,$3.170,$3.622,$3.993,$4.075
Rhode Island,$2.974,$3.736,$4.120,$3.849
South Carolina,$2.683,$3.111,$3.498,$3.373
South Dakota,$2.683,$2.893,$3.365,$3.470
Tennessee,$2.564,$3.013,$3.410,$3.401
Texas,$2.500,$2.960,$3.326,$3.166
Utah,$2.929,$3.204,$3.444,$3.566
Virginia,$2.857,$3.334,$3.709,$3.669
Vermont,$3.108,$3.656,$4.097,$3.897
Washington,$4.100,$4.362,$4.604,$4.862
Wisconsin,$2.590,$3.122,$3.618,$3.547
West Virginia,$2.870,$3.271,$3.719,$3.691
Wyoming,$2.676,$2.957,$3.230,$3.494
